PercentageofIllumination,Break_Ins
,139
0.08,58
0.15,54
0.23,41
0.33,21
0.43,30
0.54,29
0.66,32
0.76,39
0.85,24
0.93,55
0.98,44
1,35
0.99,51
0.96,46
0.91,37
0.84,55
0.76,40
0.66,27
0.57,34
0.47,35
0.38,36
0.29,21
0.21,35
0.14,32
0.08,39
0.03,28
0.01,31
0,22
0.02,27
0.05,36
0.11,27
0.19,29
0.29,37
0.39,34
0.5,21
0.62,17
0.73,47
0.82,40
0.9,35
0.96,24
0.99,31
1,38
0.98,49
0.95,36
0.89,36
0.82,26
0.74,39
0.65,32
0.56,19
0.46,26
0.37,42
0.28,33
0.2,36
0.13,34
0.07,29
0.02,28
0,19
0,38
0.03,23
0.08,33
0.16,29
0.25,20
0.36,24
0.47,27
0.58,32
0.69,37
0.79,14
0.87,38
0.94,40
0.98,20
1,21
1,35
0.97,20
0.93,22
0.88,28
0.81,27
0.73,34
0.64,39
0.54,37
0.45,31
0.35,33
0.26,21
0.18,25
0.1,34
0.05,37
0.01,28
0,37
0.02,33
0.06,24
0.13,39
0.22,40
0.33,22
0.44,32
0.55,35
0.66,41
0.76,30
0.84,40
0.91,25
0.96,34
0.99,39
1,39
0.99,37
0.96,23
0.92,37
0.86,33
0.79,22
0.71,30
0.62,45
0.52,34
0.42,22
0.32,25
0.23,33
0.14,28
0.07,39
0.03,26
0,35
0.01,24
0.05,35
0.11,25
0.19,34
0.29,47
0.4,25
0.51,28
0.62,43
0.72,35
0.8,38
0.88,43
0.93,28
0.97,33
0.99,20
1,32
0.98,32
0.95,22
0.9,38
0.84,31
0.77,39
0.68,32
0.58,37
0.48,37
0.38,33
0.28,25
0.18,33
0.1,36
0.04,29
0.01,34
0,34
0.03,29
0.09,25
0.16,37
0.26,39
0.36,39
0.47,39
0.57,23
0.67,16
0.76,24
0.84,41
0.9,28
0.95,38
0.98,49
1,46
0.99,31
0.97,31
0.94,33
0.88,32
0.81,35
0.73,31
0.63,43
0.53,38
0.42,29
0.31,33
0.21,42
0.13,33
0.06,50
0.01,36
0,40
0.02,32
0.06,29
0.13,26
0.22,32
0.32,46
0.42,25
0.52,39
0.62,38
0.71,32
0.79,32
0.86,39
0.92,29
0.96,39
0.99,30
1,29
0.99,35
0.96,28
0.91,28
0.85,29
0.77,50
0.67,32
0.57,54
0.46,28
0.34,30
0.24,37
0.15,44
0.07,43
0.02,53
0,35
0.01,29
0.04,36
0.1,46
0.18,36
0.27,32
0.36,54
0.46,41
0.56,38
0.65,26
0.74,23
0.82,25
0.88,34
0.94,27
0.98,40
1,23
1,25
0.98,37
0.94,30
0.88,38
0.8,35
0.7,29
0.6,37
0.48,44
0.37,48
0.26,31
0.17,35
0.09,34
0.03,28
0,20
0,27
0.03,26
0.07,22
0.14,23
0.21,30
0.3,34
0.39,29
0.49,27
0.58,39
0.67,32
0.76,26
0.84,27
0.9,26
0.95,32
0.99,23
1,27
0.99,33
0.96,28
0.9,25
0.82,34
0.73,36
0.62,30
0.51,29
0.39,26
0.29,35
0.19,36
0.11,41
0.05,34
0.01,24
0,30
0.01,31
0.04,38
0.1,36
0.16,35
0.24,34
0.32,33
0.42,39
0.51,26
0.6,28
0.7,44
0.78,35
0.86,43
0.92,32
0.97,33
1,29
1,33
0.97,37
0.92,26
0.85,31
0.75,18
0.65,34
0.54,35
0.42,30
0.32,34
0.22,22
0.14,26
0.07,28
0.03,38
0.01,32
0,38
0.02,32
0.06,31
0.11,29
0.18,21
0.25,36
0.34,28
0.43,30
0.53,24
0.62,24
0.72,38
0.81,32
0.88,35
0.94,27
0.98,30
1,27
0.98,35
0.94,38
0.87,28
0.79,30
0.68,20
0.57,28
0.46,34
0.36,29
0.26,42
0.17,37
0.1,35
0.05,17
0.02,49
0,46
0.01,30
0.03,34
0.07,32
0.12,44
0.19,37
0.27,26
0.36,29
0.45,23
0.55,27
0.65,33
0.75,27
0.84,23
0.91,39
0.97,33
1,24
0.99,19
0.96,20
0.9,24
0.82,22
0.73,32
0.62,26
0.51,22
0.41,22
0.31,32
0.22,17
0.15,26
0.09,35
0.04,24
0.01,24
0,27
0.01,31
0.03,37
0.08,35
0.13,37
0.2,22
0.29,18
0.38,21
0.48,21
0.59,23
0.69,17
0.79,15
0.88,17
0.94,9
