PercentageofIllumination,Violent_Crime
,57
0.08,20
0.15,17
0.23,12
0.33,6
0.43,6
0.54,12
0.66,9
0.76,11
0.85,14
0.93,7
0.98,17
1,14
0.99,14
0.96,9
0.91,9
0.84,10
0.76,12
0.66,8
0.57,5
0.47,10
0.38,20
0.29,8
0.21,8
0.14,10
0.08,9
0.03,7
0.01,6
0,16
0.02,12
0.05,15
0.11,15
0.19,15
0.29,12
0.39,9
0.5,19
0.62,11
0.73,14
0.82,7
0.9,8
0.96,7
0.99,9
1,13
0.98,10
0.95,8
0.89,11
0.82,14
0.74,11
0.65,15
0.56,9
0.46,13
0.37,15
0.28,5
0.2,14
0.13,5
0.07,5
0.02,10
0,10
0,11
0.03,10
0.08,12
0.16,8
0.25,17
0.36,14
0.47,2
0.58,10
0.69,10
0.79,14
0.87,10
0.94,9
0.98,8
1,9
1,4
0.97,7
0.93,9
0.88,10
0.81,12
0.73,10
0.64,10
0.54,11
0.45,15
0.35,12
0.26,16
0.18,13
0.1,18
0.05,16
0.01,16
0,17
0.02,8
0.06,11
0.13,7
0.22,18
0.33,9
0.44,10
0.55,7
0.66,17
0.76,7
0.84,13
0.91,15
0.96,7
0.99,18
1,10
0.99,15
0.96,11
0.92,16
0.86,15
0.79,18
0.71,9
0.62,10
0.52,13
0.42,13
0.32,15
0.23,10
0.14,14
0.07,9
0.03,15
0,9
0.01,16
0.05,11
0.11,7
0.19,6
0.29,13
0.4,14
0.51,13
0.62,12
0.72,12
0.8,12
0.88,10
0.93,15
0.97,10
0.99,6
1,18
0.98,8
0.95,18
0.9,12
0.84,10
0.77,19
0.68,10
0.58,15
0.48,16
0.38,13
0.28,14
0.18,10
0.1,12
0.04,16
0.01,11
0,9
0.03,12
0.09,14
0.16,11
0.26,7
0.36,12
0.47,16
0.57,15
0.67,17
0.76,17
0.84,10
0.9,6
0.95,10
0.98,9
1,15
0.99,10
0.97,13
0.94,14
0.88,15
0.81,12
0.73,22
0.63,15
0.53,22
0.42,12
0.31,11
0.21,7
0.13,7
0.06,10
0.01,13
0,16
0.02,15
0.06,5
0.13,14
0.22,14
0.32,6
0.42,11
0.52,11
0.62,14
0.71,6
0.79,16
0.86,11
0.92,14
0.96,11
0.99,14
1,16
0.99,8
0.96,12
0.91,5
0.85,4
0.77,15
0.67,14
0.57,14
0.46,6
0.34,17
0.24,6
0.15,14
0.07,11
0.02,17
0,16
0.01,11
0.04,15
0.1,11
0.18,5
0.27,9
0.36,15
0.46,11
0.56,14
0.65,11
0.74,12
0.82,13
0.88,12
0.94,18
0.98,13
1,15
1,6
0.98,11
0.94,14
0.88,12
0.8,10
0.7,13
0.6,10
0.48,12
0.37,5
0.26,10
0.17,4
0.09,10
0.03,6
0,11
0,10
0.03,12
0.07,7
0.14,11
0.21,17
0.3,11
0.39,12
0.49,15
0.58,14
0.67,7
0.76,8
0.84,11
0.9,11
0.95,9
0.99,11
1,12
0.99,12
0.96,17
0.9,10
0.82,7
0.73,15
0.62,12
0.51,5
0.39,14
0.29,10
0.19,11
0.11,22
0.05,16
0.01,12
0,11
0.01,18
0.04,9
0.1,16
0.16,8
0.24,13
0.32,9
0.42,22
0.51,14
0.6,14
0.7,13
0.78,11
0.86,13
0.92,12
0.97,14
1,13
1,13
0.97,20
0.92,12
0.85,11
0.75,13
0.65,9
0.54,12
0.42,10
0.32,6
0.22,8
0.14,14
0.07,10
0.03,6
0.01,7
0,5
0.02,13
0.06,16
0.11,7
0.18,10
0.25,8
0.34,10
0.43,15
0.53,11
0.62,10
0.72,8
0.81,14
0.88,14
0.94,8
0.98,7
1,17
0.98,22
0.94,13
0.87,7
0.79,11
0.68,12
0.57,9
0.46,10
0.36,15
0.26,13
0.17,9
0.1,9
0.05,3
0.02,6
0,6
0.01,10
0.03,11
0.07,7
0.12,12
0.19,6
0.27,14
0.36,11
0.45,4
0.55,7
0.65,18
0.75,7
0.84,2
0.91,5
0.97,9
1,10
0.99,11
0.96,13
0.9,9
0.82,8
0.73,10
0.62,8
0.51,5
0.41,12
0.31,13
0.22,14
0.15,11
0.09,11
0.04,11
0.01,6
0,9
0.01,9
0.03,4
0.08,12
0.13,5
0.2,8
0.29,6
0.38,10
0.48,7
0.59,9
0.69,10
0.79,5
0.88,5
0.94,4
